,repo_name,compound,rank,stars,username,issues,days_since_lc,repos_by_user,cluster,day,month,year,forks,cluster_result
136454,0.5486981677917069,2.001571338780641,0.0612244897959183,-0.1555099247091033,0.3119453924914676,0.0697674418604651,0.9444444444444444,15.0,0.0,-1.0,0.0,1.0,-0.1085409252669039,1
40337,-0.9406943105110896,2.038340666247643,-0.1836734693877551,0.4846680355920602,-0.225938566552901,0.4825581395348837,14.22222222222222,26.5,-1.0,0.0,-0.1666666666666666,0.5,0.4924377224199288,1
135954,-0.4045323047251687,1.604651162790698,0.5918367346938775,-0.0295003422313483,0.3119453924914676,-0.2093023255813953,0.5,15.0,0.0,0.3333333333333333,0.3333333333333333,0.0,-0.5951957295373665,1
47845,-0.0028929604628736,0.0,-0.2040816326530612,-0.1411362080766598,0.4668941979522184,0.4825581395348837,-0.1666666666666666,12.0,-1.0,0.5333333333333333,-0.5,-1.0,0.2166370106761566,1
48822,-0.4594985535197685,0.0,0.8367346938775511,-0.7184804928131416,0.4668941979522184,0.4331395348837209,0.1666666666666666,12.0,-1.0,-0.9333333333333332,-0.1666666666666666,-1.0,-0.2048487544483986,1
63338,0.0776277724204435,0.0,0.5714285714285714,-0.3078713210130048,-0.1324232081911262,1.938953488372093,-0.1666666666666666,10.5,-1.0,0.8666666666666667,0.1666666666666666,0.0,-0.4419483985765124,1
136404,0.5486981677917069,2.001571338780641,0.9183673469387756,-0.2348391512662559,0.3119453924914676,0.0145348837209302,-0.1111111111111111,15.0,0.0,-0.8,1.0,0.5,-0.1494661921708185,1
136131,-0.4045323047251687,1.604651162790698,0.2653061224489796,0.1561943874058863,0.3119453924914676,-0.1627906976744186,2.111111111111111,15.0,0.0,0.6666666666666666,0.0,0.5,-0.5693950177935944,1
48251,-0.0028929604628736,0.0,-0.0816326530612244,0.2211498973305954,0.4668941979522184,0.0174418604651162,-0.0555555555555555,12.0,-1.0,-0.2,0.1666666666666666,-0.5,0.6323398576512456,1
39382,-0.9406943105110896,2.038340666247643,-0.3877551020408163,0.0351813826146475,-0.225938566552901,0.1453488372093023,0.0,26.5,-1.0,-0.2666666666666666,-0.8333333333333334,-1.0,0.1318950177935943,1
